"U.M.","Nombre","Desc. item","MARCA","Referencia","Nombre archivo","Precio unitario","Existencia","Columna 1","Desc. detalle ext. 1","Extensión final"
"UND ","NAV BOLA BE00355/7 c/CUADROS","NAV BOLA BE00355/7 x3uds c/CUADROS","INACOL S A S","5255","5255.png","$5.693","76","2","BLANCO ","Blanco "
"UND ","FUNDA p/PORTATIL LAPTOP 9pgd TSS253US","FUNDA p/PORTATIL LAPTOP 9pgd TSS253US","IMPRESISTEM","5287","5287.png","$12.960","0","1","GN ","Genérico"
"UND ","MADERAS JUEGO DE ELEFANTES","MADERAS JUEGO DE ELEFANTES","MADERA ARTESANAL LA 15","5290","5290.png","$10.281","60","6","GN ","Genérico"
"UND ","MADERAS CAND TORCIDO c/TAPAS CUADRA","MADERAS CAND TORCIDO x3ud c/TAPAS CUADRA","MADERA ARTESANAL LA 15","5291","5291.png","$16.740","0","1","GN ","Genérico"
"UND ","MADERAS BASE 4 PATAS MEDIANA","MADERAS BASE 4 PATAS MEDIANA","MADERA ARTESANAL LA 15","5292","5292.png","$3.369","60","2","GN ","Genérico"
"UND ","MADERAS JUEGO DE GATOS","MADERAS JUEGO DE GATOS","MADERA ARTESANAL LA 15","5293","5293.png","$6.912","0","2","GN ","Genérico"
"UND ","MADERAS MARIPOSAS EN 3D","MADERAS MARIPOSAS EN 3D","MADERA ARTESANAL LA 15","5295","5295.png","$2.822","4","3","GN ","Genérico"
"UND ","MADERAS FLORERO PUNTA METALICA","MADERAS FLORERO PUNTA METALICA x3uds","MADERA ARTESANAL LA 15","5296","5296.png","$17.193","60","2","GN ","Genérico"
"UND ","MADERAS GATOS DOBLES MDF","MADERAS GATOS DOBLES 9mm MDF","MADERA ARTESANAL LA 15","5298","5298.png","$5.097","60","5","GN ","Genérico"
"UND ","MADERAS SELLADOR SILER LIJABLE BASE AGUA","MADERAS SELLADOR SILER LIJABLE BASE AGUA","MADERA ARTESANAL LA 15","5299","5299.png","$1.879","20","14","MATRIMONI","Matrimonio"
