"U.M.","Nombre","Desc. item","MARCA","Referencia","Nombre archivo","Precio unitario","Existencia","Columna 1","Desc. detalle ext. 1","Extensión final"
"UND ","NAV MADERA GUANTE MUNECA TRAPITOS","NAV MADERA GUANTE MUNECA TRAPITOS","DISTRICOP DECORACIONES","4516","4516.png","$7.560","0","2","GN ","Genérico"
"UND ","FOMI ROLLO MONOS 10x400cmtsx1.6 ROJO INT","FOMI ROLLO MONOS 10x400cmtsx1.6 ROJO INT","PRODUVARIOS S.A.","4537","4537.png","$4.826","52","2","GN ","Genérico"
"UND ","NAV CAMPANA NRO 8 ICOPOR","NAV CAMPANA NRO 8 ICOPOR","PALMIPOR","4538","4538.png","$437","40","1","GN ","Genérico"
"UND ","FOMI ROLLO CENEFAS 2x400x1.6 FUCSIA","FOMI ROLLO CENEFAS 2x400x1.6 FUCSIA","PRODUVARIOS S.A.","4539","4539.png","$7.928","28","2","GN ","Genérico"
"UND ","PAPEL REG MICROC DECORADO","PAPEL REG MICROC 50x70 DECORADO","CONS","4541","4541.png","$648","0","1","GN ","Genérico"
"UND ","PAPEL REG MICROC DECORADO","PAPEL REG MICROC 50x70 DECORADO","CONS","4541","4541.png","$648","0","20","GN ","Genérico"
"UND ","NAV CINTA TB00873 ALAMBRADA","NAV CINTA TB00873 ALAMBRADA","INACOL S A S","4543","4543.png","$15.050","88","6","GN ","Genérico"
"UND ","CINTA PAPEL 070 16X50mtrs LISA FONDO ENT","CINTA PAPEL 070 16X50mtrs LISA FONDO ENT","JAIS","4550","4550.png","$1.339","20","2","AZUL OSCU","Azul Oscuro"
"UND ","NAV IMAN PEQUEÑO 030 602012","NAV IMAN PEQUEÑO 030 602012","DISTRICOP DECORACIONES","4552","4552.png","$5.446","44","2","GN ","Genérico"
"UND ","NAV FLOR FLQ01593 DORADA/ROJO MEDIANA","NAV FLOR FLQ01593 DORADA/ROJO MEDIANA","INACOL S A S","4597","4597.png","$4.743","36","13","GN ","Genérico"
